"AssessmentDate","ControlId","ControlName","Category","ResourceType","ResourceName","ResourceGroup","Finding","Details","Recommendation","Criticality","Status"
"2026-02-02 14:38:11","NSG-2,CIS-6.2","Broad Allow Rules / SSH Access","Network Security Groups","NSG Rule","SSH","rg-sftp-poc","Broad SSH access (0.0.0.0/0) detected","Rule: SSH, Source: *, Destination Port: 22","Restrict SSH (port 22) to specific source IPs or use Azure Bastion for secure access","Critical","Fail"
"2026-02-02 14:38:11","PE-1","Private Endpoint Deployment","Private Endpoints","Private Endpoint","N/A","N/A","No Private Endpoints found","Zero private endpoints in subscription","Deploy Private Endpoints for all Azure PaaS services (Storage, SQL, Key Vault, etc.) to avoid internet exposure","High","Fail"
"2026-02-02 14:38:11","PE-5,DNS-1","Private DNS Zone Configuration","Private Endpoints","Private DNS Zone","N/A","N/A","No Private DNS zones found","Private endpoint name resolution may fail without private DNS zones","Create and configure Private DNS zones for private endpoint name resolution (e.g., privatelink.database.windows.net)","High","Fail"
"2026-02-02 14:38:11","DDOS-1","DDoS Protection Standard","DDoS Protection","Virtual Network","workers-vnet","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","DDoS Protection Standard not enabled","VNet: workers-vnet - DDoS Standard not active","Enable Azure DDoS Protection Standard on critical VNets for layer 3-4 protection","High","Fail"
"2026-02-02 14:38:11","FW-1","Azure Firewall Deployment","Firewall","Azure Firewall","N/A","N/A","No Azure Firewall instances found","Zero firewalls in subscription","Deploy Azure Firewall at network boundaries with threat intelligence enabled for centralized threat protection","High","Fail"
"2026-02-02 14:38:11","NSG-3","NSG Flow Logs","Network Security Groups","Network Security Group","vmsftpdemo-nsg","rg-sftp-poc","Flow logs not enabled","NSG: vmsftpdemo-nsg has no flow logs configured","Enable NSG flow logs and send to Log Analytics Workspace or Storage Account for security analysis","High","Fail"
"2026-02-02 14:38:11","NSG-3","NSG Flow Logs","Network Security Groups","Network Security Group","workers-sg","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","Flow logs not enabled","NSG: workers-sg has no flow logs configured","Enable NSG flow logs and send to Log Analytics Workspace or Storage Account for security analysis","High","Fail"
"2026-02-02 14:38:11","DDOS-1","DDoS Protection Standard","DDoS Protection","Virtual Network","vnet-dm4-dev-eus","rg-dm4-dev-eus","DDoS Protection Standard not enabled","VNet: vnet-dm4-dev-eus - DDoS Standard not active","Enable Azure DDoS Protection Standard on critical VNets for layer 3-4 protection","High","Fail"
"2026-02-02 14:38:11","IAM-2","Azure Bastion Deployment","Identity & Access Control","Azure Bastion","N/A","N/A","Azure Bastion not deployed","VMs may be exposed via RDP/SSH","Deploy Azure Bastion to provide secure, browser-based VM access without public IPs","High","Fail"
"2026-02-02 14:38:11","FW-4","WAF Deployment","Firewall","WAF Policy","N/A","N/A","No WAF policies found","Web applications may lack protection","Implement WAF (Azure Application Gateway WAF or Front Door WAF) for web application protection","High","Fail"
