"Status","Recommendation","Finding","ResourceGroup","AssessmentDate","Category","AssessmentType","Details","Criticality","ControlName","ResourceType","CISControlId","ResourceName"
"Fail","Restrict SSH access to specific IPs or use Azure Bastion","Broad SSH access allowed (0.0.0.0/0)","rg-sftp-poc","2026-02-02 15:28:23","Networking","Automated","Rule: SSH, Port: 22, Source: 0.0.0.0/0","Critical","SSH Access Restriction","NSG Rule","CIS 6.2","SSH"
"Requires Review","Verify MFA is enforced for all admin accounts","No privileged users detected","N/A","2026-02-02 15:28:23","Identity & Access Management","Manual","Could not retrieve privileged user list","Critical","MFA for Privileged Users","User","CIS 1.1","N/A"
"Fail","Enable both soft delete and purge protection for Key Vault","Key Vault recovery features not fully enabled","rg-dm4-dev-eus","2026-02-02 15:28:23","Key Vault","Automated","Soft Delete: , Purge Protection: ","High","Key Vault Recoverability","Key Vault","CIS 8.5","kv-dm4-dev-eus-e5rja"
"Fail","Set default network access rule to 'Deny' and explicitly allow required services","Default access is Allow","rg-dm4-dev-eus","2026-02-02 15:28:23","Storage Accounts","Automated","Network rules: Default action is ","High","Default Network Access Rule","Storage Account","CIS 3.6","stdm4deveuse5rja"
"Fail","Enable 'Secure transfer required' setting in Storage Account configuration","HTTP traffic allowed","rg-dm4-dev-eus","2026-02-02 15:28:23","Storage Accounts","Automated","Secure transfer is not enforced","High","Secure Transfer Required","Storage Account","CIS 3.1","stdm4deveuse5rja"
"Fail","Enable firewall on Key Vault and set default action to Deny","Firewall rules not properly configured","rg-nms-shared","2026-02-02 15:28:23","Key Vault","Automated","Default access: Allow","High","Key Vault Firewall","Key Vault","CIS 8.8","kv-aipoc-agent-001"
"Fail","Enable both soft delete and purge protection for Key Vault","Key Vault recovery features not fully enabled","rg-nms-shared","2026-02-02 15:28:23","Key Vault","Automated","Soft Delete: , Purge Protection: ","High","Key Vault Recoverability","Key Vault","CIS 8.5","kv-aipoc-agent-001"
"Fail","Enable logging for Key Vault to track access and operations","Logging is not enabled","rg-nms-shared","2026-02-02 15:28:23","Logging & Monitoring","Automated","No diagnostic settings found","High","Key Vault Logging","Key Vault","CIS 5.1.5","kv-aipoc-agent-001"
"Fail","Configure diagnostic settings to send all logs to Log Analytics or Storage Account","No diagnostic settings found","N/A","2026-02-02 15:28:23","Logging & Monitoring","Automated","Subscription-level diagnostic settings not configured","High","Diagnostic Settings","Diagnostic Setting","CIS 5.1.1","Subscription Level"
"Fail","Enable firewall on Key Vault and set default action to Deny","Firewall rules not properly configured","rg-dm4-dev-eus","2026-02-02 15:28:23","Key Vault","Automated","Default access: Allow","High","Key Vault Firewall","Key Vault","CIS 8.8","kv-dm4-dev-eus-e5rja"
"Requires Review","Enable Microsoft Defender for Azure SQL Database for advanced threat protection","Defender plan: Azure SQL Database","Subscription","2026-02-02 15:28:23","Microsoft Defender for Cloud","Manual","Status: Requires verification through Azure Portal","High","Microsoft Defender for Azure SQL Database","Defender Plan","CIS 2.x","Azure SQL Database"
"Requires Review","Enable Microsoft Defender for App Service for advanced threat protection","Defender plan: App Service","Subscription","2026-02-02 15:28:23","Microsoft Defender for Cloud","Manual","Status: Requires verification through Azure Portal","High","Microsoft Defender for App Service","Defender Plan","CIS 2.x","App Service"
"Requires Review","Enable Microsoft Defender for Servers for advanced threat protection","Defender plan: Servers","Subscription","2026-02-02 15:28:23","Microsoft Defender for Cloud","Manual","Status: Requires verification through Azure Portal","High","Microsoft Defender for Servers","Defender Plan","CIS 2.x","Servers"
"Requires Review","Enable Microsoft Defender for SQL servers on machines for advanced threat protection","Defender plan: SQL servers on machines","Subscription","2026-02-02 15:28:23","Microsoft Defender for Cloud","Manual","Status: Requires verification through Azure Portal","High","Microsoft Defender for SQL servers on machines","Defender Plan","CIS 2.x","SQL servers on machines"
"Fail","Set default network access rule to 'Deny' and explicitly allow required services","Default access is Allow","databricks-rg-adb-demo-nms-cbxthjrj7gfdw","2026-02-02 15:28:23","Storage Accounts","Automated","Network rules: Default action is ","High","Default Network Access Rule","Storage Account","CIS 3.6","dbstoragefvj3eaaabzoqs"
